size AVL BST
100 2548 2833 
200 2645 2874 
300 2512 2693 
400 2851 3280 
500 2190 2416 
600 2001 2217 
700 2079 2156 
800 2086 2409 
900 2001 2158 
1000 1994 2090 
1100 2152 2576 
1200 2091 2260 
1300 2142 2176 
1400 2252 2861 
1500 2250 2464 
1600 2220 2166 
1700 2173 2295 
1800 2159 2147 
1900 2216 2271 
2000 2259 2133 
2100 2153 2119 
2200 2142 2134 
2300 2256 2404 
2400 2154 2185 
2500 2379 2334 
2600 2181 2292 
2700 2317 2559 
2800 2188 2302 
2900 2528 2494 
3000 2429 2388 
3100 2294 2291 
3200 2365 2335 
3300 2165 2020 
3400 2160 2153 
3500 2264 2392 
3600 2404 2314 
3700 2352 2655 
3800 2281 2627 
3900 2226 2244 
4000 2302 2320 
4100 2297 2577 
4200 2269 2232 
4300 2261 2396 
4400 2357 2542 
4500 2262 2228 
4600 2277 2655 
4700 2343 2636 
4800 2529 2638 
4900 2280 2348 
5000 2550 2294 
5100 2322 2334 
5200 2479 2514 
5300 2573 2882 
5400 2359 2584 
5500 2435 2427 
5600 2306 2400 
5700 2546 2461 
5800 2328 2449 
5900 2575 2434 
6000 2376 2440 
6100 2856 2661 
6200 2647 2874 
6300 2325 2281 
6400 2478 2450 
6500 2514 2550 
6600 2566 2931 
6700 2474 2344 
6800 2416 2710 
6900 2321 2483 
7000 2335 2295 
7100 2626 2579 
7200 2483 2596 
7300 2590 2591 
7400 2440 2376 
7500 2467 3093 
7600 2522 2591 
7700 2456 2394 
7800 2467 2311 
7900 2405 2616 
8000 2543 2833 
8100 2798 2759 
8200 2784 2945 
8300 2922 2601 
8400 2772 2895 
8500 2420 2649 
8600 2577 2552 
8700 2442 2365 
8800 2350 2339 
8900 2546 2793 
9000 2541 2706 
9100 2471 3004 
9200 2575 2696 
9300 2346 2505 
9400 2406 2266 
9500 2491 2237 
9600 2461 2642 
9700 2540 2355 
9800 2355 2408 
9900 2517 2328 
10000 2366 3046 
