size AVL BST
100 1166 1735 
200 1297 1854 
300 1287 1651 
400 1469 2027 
500 1172 1480 
600 1066 1390 
700 1144 1398 
800 1159 1434 
900 1142 1355 
1000 1102 1400 
1100 1325 1638 
1200 1239 1621 
1300 1217 1487 
1400 1239 1548 
1500 1314 1615 
1600 1266 1659 
1700 1292 1561 
1800 1281 1561 
1900 1291 1714 
2000 1258 1547 
2100 1389 1638 
2200 1300 1710 
2300 1298 1793 
2400 1284 1604 
2500 1376 1983 
2600 1309 1848 
2700 1311 1743 
2800 1349 1859 
2900 1605 2167 
3000 1422 2036 
3100 1368 2075 
3200 1413 2230 
3300 1420 1909 
3400 1286 1835 
3500 1433 1989 
3600 1360 1802 
3700 1381 1971 
3800 1338 2264 
3900 1385 2258 
4000 1541 2443 
4100 1366 2216 
4200 1357 2397 
4300 1414 2079 
4400 1387 2716 
4500 1360 2251 
4600 1463 2762 
4700 1401 2823 
4800 1738 4043 
4900 1418 2456 
5000 1582 2357 
5100 1561 2635 
5200 1399 2918 
5300 1482 2781 
5400 1458 2764 
5500 1515 2727 
5600 1430 2761 
5700 1544 2988 
5800 1446 3220 
5900 1558 3048 
6000 1524 2787 
6100 1771 3539 
6200 1583 3255 
6300 1556 3198 
6400 1486 4016 
6500 1531 3133 
6600 1551 3101 
6700 1580 3291 
6800 1519 3030 
6900 1564 3109 
7000 1458 2701 
7100 1733 3925 
7200 1562 3194 
7300 1638 4001 
7400 1598 3710 
7500 1575 3792 
7600 1565 3340 
7700 1761 3320 
7800 1534 3157 
7900 1566 3496 
8000 1645 3937 
8100 1989 4849 
8200 1856 4986 
8300 1809 4789 
8400 1841 4691 
8500 1744 4814 
8600 1868 4303 
8700 1524 3618 
8800 1555 4229 
8900 1660 4143 
9000 1764 4498 
9100 1770 4441 
9200 1621 5549 
9300 1540 5020 
9400 1763 4502 
9500 1530 4647 
9600 1763 4664 
9700 1645 4151 
9800 1647 4046 
9900 1611 5014 
10000 1537 5013 
