size AVL BST
100 1137 2620 
200 1549 2829 
300 1303 3255 
400 1409 3250 
500 1196 2835 
600 1077 2629 
700 1085 3077 
800 1328 3010 
900 1177 3046 
1000 1126 3039 
1100 1448 3094 
1200 1249 3431 
1300 1217 3204 
1400 1367 3436 
1500 1546 3695 
1600 1402 3791 
1700 1454 3978 
1800 1292 3301 
1900 1363 3562 
2000 1368 3983 
2100 1346 3308 
2200 1330 4376 
2300 1535 3270 
2400 1368 3371 
2500 1485 3692 
2600 1496 3702 
2700 1529 3979 
2800 1502 4380 
2900 1662 4318 
3000 1576 4365 
3100 1591 4214 
3200 1541 4336 
3300 1581 4140 
3400 1444 3584 
3500 1830 3943 
3600 1607 3608 
3700 1557 4101 
3800 1531 4139 
3900 1520 3690 
4000 1640 3532 
4100 1567 4127 
4200 1944 4170 
4300 1600 4033 
4400 1670 3708 
4500 1743 4008 
4600 1641 3564 
4700 1816 4690 
4800 1907 4511 
4900 1625 5057 
5000 1611 5046 
5100 1705 4446 
5200 1832 4788 
5300 1753 4335 
5400 1832 4679 
5500 1879 4659 
5600 1690 4263 
5700 1845 3655 
5800 1723 4144 
5900 1857 4764 
6000 1735 4231 
6100 2022 5296 
6200 1947 4862 
6300 1728 4110 
6400 1755 5194 
6500 2054 5221 
6600 1823 4023 
6700 1964 5310 
6800 1952 5410 
6900 1709 3686 
7000 1737 3992 
7100 1995 4815 
7200 1961 4142 
7300 1926 4547 
7400 1869 4636 
7500 1835 5017 
7600 1849 5146 
7700 1889 4385 
7800 1961 4434 
7900 2026 6310 
8000 2010 4760 
8100 2086 4669 
8200 2220 4595 
8300 2027 5745 
8400 2088 6387 
8500 1815 4887 
8600 2213 4750 
8700 1918 4795 
8800 1850 4718 
8900 1932 4733 
9000 1931 4440 
9100 1912 4311 
9200 2050 4393 
9300 1832 4925 
9400 2163 4885 
9500 1889 4525 
9600 1870 4511 
9700 1948 4920 
9800 1797 4654 
9900 2162 4500 
10000 1946 5019 
