size AVL BST
100 1905 6313 
200 2023 12135 
300 2096 16675 
400 2323 24194 
500 2074 25544 
600 2393 35966 
700 2091 35227 
800 2181 40606 
900 2230 50735 
1000 2200 53444 
1100 2198 56735 
1200 2589 63215 
1300 2450 70914 
1400 2495 79428 
1500 2543 85858 
1600 2414 86034 
1700 2237 86368 
1800 2369 109085 
1900 2343 100498 
2000 2357 104802 
2100 2398 102271 
2200 2378 118922 
2300 2570 124022 
2400 2423 124223 
2500 2574 137626 
2600 2620 153806 
2700 2656 144550 
2800 2284 136846 
2900 2460 155571 
3000 2621 159171 
3100 2629 159667 
3200 2463 170767 
3300 2354 163307 
3400 2475 175003 
3500 2624 178944 
3600 2606 178096 
3700 2530 196011 
3800 2572 203101 
3900 2329 199241 
4000 2717 215396 
4100 2906 233464 
4200 2529 207875 
4300 2782 226625 
4400 2740 230275 
4500 2605 247708 
4600 2684 243359 
4700 2378 233881 
4800 2368 215915 
4900 2528 238819 
5000 3231 266706 
5100 2784 250454 
5200 2497 265664 
5300 2525 269022 
5400 2624 298969 
5500 2719 279171 
5600 2500 251614 
5700 2505 273897 
5800 2383 277594 
5900 3370 301174 
6000 2682 280593 
6100 2497 306996 
6200 2650 303239 
6300 2433 294704 
6400 2705 308973 
6500 3118 320712 
6600 3071 362608 
6700 3068 395581 
6800 2986 366529 
6900 3158 392004 
7000 3021 381962 
7100 3009 363996 
7200 2659 348371 
7300 3022 392525 
7400 3547 421789 
7500 3865 498247 
7600 3091 429892 
7700 3132 405181 
7800 2608 352827 
7900 2609 371526 
8000 2791 395325 
8100 2596 359771 
8200 2746 388919 
8300 2810 385259 
8400 3048 424690 
8500 3181 446304 
8600 3631 479719 
8700 3372 505862 
8800 2950 436231 
8900 3276 491196 
9000 3495 507006 
9100 3292 499433 
9200 3309 484952 
9300 3232 448578 
9400 2842 450994 
9500 2838 453776 
9600 2850 461158 
9700 3029 478284 
9800 2879 462553 
9900 3527 563593 
10000 3791 495126 
