size AVL BST
100 741 8244 
200 857 17305 
300 998 26207 
400 1016 36290 
500 986 43192 
600 1131 56798 
700 1067 57421 
800 1052 66987 
900 1109 79014 
1000 1129 86350 
1100 1134 86698 
1200 1242 99308 
1300 1288 114603 
1400 1377 120257 
1500 1348 132286 
1600 1254 131750 
1700 1183 139431 
1800 1190 152143 
1900 1196 150738 
2000 1173 157595 
2100 1339 161266 
2200 1382 164471 
2300 1382 183249 
2400 1389 193185 
2500 1719 202318 
2600 1398 220182 
2700 1447 216601 
2800 1330 209175 
2900 1456 223894 
3000 1270 232899 
3100 1374 240456 
3200 1343 237260 
3300 1378 248177 
3400 1478 263601 
3500 1658 266231 
3600 1389 260020 
3700 1432 288596 
3800 1490 283093 
3900 1547 286188 
4000 1368 314871 
4100 1768 362006 
4200 1484 302987 
4300 1636 329294 
4400 1628 326920 
4500 1571 310176 
4600 1698 355268 
4700 1599 340278 
4800 1572 311552 
4900 1703 306951 
5000 1663 328244 
5100 1683 368423 
5200 1731 338620 
5300 1563 327331 
5400 1815 362217 
5500 1909 354593 
5600 1469 318779 
5700 1458 326223 
5800 1613 308579 
5900 1575 340976 
6000 1561 365532 
6100 1578 377539 
6200 1581 365087 
6300 1560 400022 
6400 1611 400223 
6500 1617 387753 
6600 1832 443796 
6700 2123 489667 
6800 1731 433607 
6900 2155 446273 
7000 1887 423863 
7100 1570 400721 
7200 1548 374815 
7300 1675 466437 
7400 1871 487896 
7500 1979 497360 
7600 1773 453921 
7700 1660 428172 
7800 1519 394308 
7900 1480 396360 
8000 1571 456317 
8100 1517 413699 
8200 1573 377652 
8300 1675 409216 
8400 1908 469338 
8500 1961 426112 
8600 1959 485062 
8700 2001 491485 
8800 1939 386114 
8900 2117 522558 
9000 1969 485270 
9100 1886 456027 
9200 1924 413100 
9300 1672 446691 
9400 1974 449789 
9500 1664 422710 
9600 1836 443524 
9700 1906 465838 
9800 1722 442434 
9900 2132 507953 
10000 1893 475978 
