size AVL BST
100 846 4152 
200 979 8526 
300 1117 13396 
400 1250 16950 
500 1330 21867 
600 1345 30315 
700 1299 33136 
800 1365 32944 
900 1591 39738 
1000 1589 47191 
1100 1555 48763 
1200 1926 54575 
1300 1766 63153 
1400 1846 58381 
1500 1943 65512 
1600 2097 69359 
1700 1826 66462 
1800 1993 79058 
1900 1893 84580 
2000 1775 81957 
2100 2087 86551 
2200 1981 91720 
2300 2080 100299 
2400 1963 105093 
2500 1927 124296 
2600 2225 132937 
2700 2050 126429 
2800 2221 128313 
2900 2072 142477 
3000 2108 131249 
3100 2149 140926 
3200 2035 121984 
3300 2044 163806 
3400 2227 149750 
3500 2169 159750 
3600 2140 157023 
3700 2146 161404 
3800 2171 168448 
3900 2168 178976 
4000 2343 168529 
4100 2432 194977 
4200 2208 167526 
4300 2154 168657 
4400 2110 204730 
4500 2153 180473 
4600 2748 214218 
4700 1982 190285 
4800 2252 191367 
4900 2335 223643 
5000 2104 196900 
5100 2294 212649 
5200 2139 236798 
5300 2365 206401 
5400 2548 219994 
5500 2052 242225 
5600 2108 251908 
5700 2049 232449 
5800 1997 230106 
5900 2012 243638 
6000 2253 279653 
6100 2331 250421 
6200 1912 258018 
6300 2451 264151 
6400 2169 273562 
6500 2149 272018 
6600 2192 286444 
6700 2426 295866 
6800 2590 308837 
6900 2564 369869 
7000 2179 341039 
7100 2121 324757 
7200 2001 286477 
7300 2422 336795 
7400 2394 351541 
7500 2627 399174 
7600 2618 348696 
7700 2082 321389 
7800 1946 309453 
7900 1918 295623 
8000 1952 339065 
8100 1857 332103 
8200 2038 324651 
8300 1792 313877 
8400 2321 353622 
8500 2203 367385 
8600 2697 379299 
8700 2371 405488 
8800 2181 394473 
8900 2284 380018 
9000 2536 391429 
9100 2410 419538 
9200 2135 376193 
9300 2030 405434 
9400 2169 404194 
9500 2002 332131 
9600 1944 385549 
9700 2029 421295 
9800 2170 381245 
9900 2668 427931 
10000 2209 411047 
