size AVL BST
100 2730 2981 
200 3022 2782 
300 3142 2834 
400 3313 2831 
500 3034 2735 
600 2449 2356 
700 2690 2995 
800 2795 2605 
900 2856 2567 
1000 3549 2412 
1100 2746 2535 
1200 2670 2522 
1300 2827 2685 
1400 3361 2650 
1500 2902 2751 
1600 2558 2404 
1700 2696 2529 
1800 2380 2752 
1900 2800 2593 
2000 2598 2358 
2100 2437 2350 
2200 3012 2698 
2300 2663 2596 
2400 2464 2314 
2500 2742 2445 
2600 3173 2753 
2700 3119 2889 
2800 3335 3112 
2900 3156 2993 
3000 3115 3241 
3100 3105 3089 
3200 3064 2923 
3300 2856 2612 
3400 2701 2538 
3500 2920 2683 
3600 2880 2716 
3700 2689 2536 
3800 2443 2355 
3900 2538 2349 
4000 2635 2370 
4100 2694 2455 
4200 2534 2329 
4300 2441 2253 
4400 2537 2445 
4500 2370 2487 
4600 2441 2338 
4700 2785 2400 
4800 2695 2655 
4900 2871 2500 
5000 2609 2523 
5100 2704 2563 
5200 2531 2428 
5300 2734 2639 
5400 3162 2832 
5500 2777 2583 
5600 2804 2772 
5700 2657 2757 
5800 2634 2576 
5900 2611 2547 
6000 2566 2364 
6100 2939 2613 
6200 2636 2579 
6300 3064 2749 
6400 2777 2575 
6500 2799 2727 
6600 3319 2820 
6700 2975 2768 
6800 2718 2535 
6900 2770 2834 
7000 2922 2718 
7100 2610 2546 
7200 2812 3805 
7300 2807 2735 
7400 3343 3382 
7500 3102 3064 
7600 2650 2542 
7700 3071 2847 
7800 3786 3206 
7900 3387 3197 
8000 3492 3256 
8100 3607 3408 
8200 2891 2859 
8300 2857 2653 
8400 3033 2829 
8500 2800 2699 
8600 2837 2701 
8700 2816 2641 
8800 2721 2540 
8900 3053 2805 
9000 2686 2547 
9100 2909 2831 
9200 3362 2980 
9300 2945 2913 
9400 2726 2680 
9500 2726 2658 
9600 2614 2742 
9700 2897 2761 
9800 3124 2790 
9900 2860 2736 
10000 2700 2479 
