size AVL BST
100 1021 815 
200 1223 1105 
300 1278 965 
400 1329 1043 
500 1324 1014 
600 1165 923 
700 1244 923 
800 1262 1111 
900 1382 1072 
1000 1269 1044 
1100 1306 1154 
1200 1342 1144 
1300 1466 1186 
1400 1376 1171 
1500 1564 1479 
1600 1343 1116 
1700 1397 1184 
1800 1254 1001 
1900 1282 1162 
2000 1260 985 
2100 1277 1115 
2200 1487 1263 
2300 1398 1329 
2400 1337 1102 
2500 1368 1289 
2600 1443 1456 
2700 1623 1510 
2800 1541 1497 
2900 1733 1460 
3000 1534 1381 
3100 1642 1531 
3200 1471 1620 
3300 1509 1370 
3400 1424 1256 
3500 1420 1393 
3600 1572 1567 
3700 1334 1163 
3800 1323 1183 
3900 1384 1288 
4000 1311 1302 
4100 1433 1291 
4200 1324 1434 
4300 1425 1368 
4400 1377 1489 
4500 1348 1410 
4600 1347 1448 
4700 1382 1643 
4800 1427 1622 
4900 1497 1620 
5000 1429 1510 
5100 1405 1442 
5200 1405 1600 
5300 1458 1608 
5400 1613 1866 
5500 1672 1528 
5600 1621 1776 
5700 1492 1636 
5800 1503 1641 
5900 1442 1537 
6000 1488 1644 
6100 1503 2047 
6200 1476 1753 
6300 1592 1930 
6400 1507 1675 
6500 1600 1640 
6600 1630 1655 
6700 1612 1647 
6800 1520 2106 
6900 1589 1732 
7000 1589 1635 
7100 1512 1574 
7200 1610 1648 
7300 1665 1831 
7400 1993 1936 
7500 1866 1892 
7600 1685 1627 
7700 1731 1853 
7800 1881 1776 
7900 1947 2282 
8000 2012 2310 
8100 2046 2464 
8200 1730 1991 
8300 1857 2229 
8400 2159 2144 
8500 1708 1998 
8600 1864 2256 
8700 1796 2268 
8800 1536 1853 
8900 1644 2073 
9000 1706 1882 
9100 1746 2344 
9200 2000 2542 
9300 1621 2134 
9400 1686 1954 
9500 1663 2163 
9600 1540 2052 
9700 1740 2422 
9800 1659 2737 
9900 1834 2158 
10000 1725 2019 
