size AVL BST
100 1144 1062 
200 1358 1395 
300 1508 1409 
400 1566 1617 
500 1550 1631 
600 1470 1513 
700 1464 1439 
800 1411 1639 
900 1618 1634 
1000 1469 1499 
1100 1546 1574 
1200 1531 1822 
1300 1843 1880 
1400 1682 1631 
1500 1826 2041 
1600 1629 1751 
1700 1573 1585 
1800 1404 1542 
1900 1751 1706 
2000 1552 1474 
2100 1585 1507 
2200 1880 2083 
2300 1703 1927 
2400 1626 1640 
2500 1702 1820 
2600 4336 1755 
2700 2075 2013 
2800 2105 2159 
2900 2291 2047 
3000 1992 1863 
3100 1965 1886 
3200 1918 1843 
3300 1845 1758 
3400 1780 1648 
3500 1877 1807 
3600 2055 1968 
3700 1742 1670 
3800 1656 1572 
3900 1734 1704 
4000 1684 1679 
4100 1732 1757 
4200 1842 1777 
4300 1638 1646 
4400 1736 1688 
4500 1628 1614 
4600 1809 1641 
4700 1805 1710 
4800 1966 1722 
4900 1888 1979 
5000 1937 1707 
5100 1777 1684 
5200 1908 1701 
5300 1900 1860 
5400 2035 2002 
5500 1987 1849 
5600 2137 2085 
5700 1874 1840 
5800 1980 1822 
5900 1848 1901 
6000 1887 1788 
6100 2023 1848 
6200 1934 1810 
6300 2011 1884 
6400 1936 1985 
6500 2101 2074 
6600 2085 2084 
6700 1969 1924 
6800 1880 1797 
6900 1931 1821 
7000 2137 1830 
7100 1846 1809 
7200 2030 1958 
7300 2110 2056 
7400 2344 2263 
7500 2236 2320 
7600 1882 1794 
7700 2213 1925 
7800 2418 2070 
7900 2362 2302 
8000 2784 2463 
8100 2367 2433 
8200 2057 2029 
8300 2067 2043 
8400 2263 2330 
8500 2069 1956 
8600 2092 2302 
8700 1902 1888 
8800 1909 1767 
8900 2133 2064 
9000 1968 1969 
9100 2291 2017 
9200 2254 2154 
9300 1998 1894 
9400 2015 2210 
9500 2319 2042 
9600 2008 1822 
9700 2225 2021 
9800 2014 1986 
9900 2052 2118 
10000 1883 1883 
